,game,model,experiment,episode,metric,value
42,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_1,Total Distance,10.23606797749979
43,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_1,Expected Distance Score,0.7156502718737776
44,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_1,Distance Reduction Score,0.7631048488267016
45,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_1,Distance Score,0.7393775603502396
46,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_1,Penalty Score,0.4
47,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_1,Main Score,0.29575102414009585
48,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Request Count,42.0
49,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Parsed Request Count,42.0
50,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Violated Request Count,0.0
51,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Request Success Ratio,1.0
52,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Aborted,0.0
53,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Lose,0.0
54,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Success,1.0
55,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Penalties,12.0
56,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Turn Count,15.0
57,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Initial Distance,35.24621125123532
58,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Total Distance,28.716832736417608
59,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Expected Distance Score,0.20226950434525692
60,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Distance Reduction Score,0.18525050730350123
61,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Distance Score,0.19376000582437908
62,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Penalty Score,0.19999999999999996
63,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,5_gs11x11_obj7_en,episode_0,Main Score,0.03875200116487581
64,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Request Count,18.0
65,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Parsed Request Count,17.0
66,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Violated Request Count,1.0
67,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Request Success Ratio,0.9444444444444444
68,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Aborted,0.0
69,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Lose,0.0
70,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Success,1.0
71,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Penalties,4.0
72,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Turn Count,7.0
73,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Initial Distance,7.773387165490545
74,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Total Distance,3.0
75,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Expected Distance Score,0.6906407832308854
76,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Distance Reduction Score,0.6140678527735879
77,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Distance Score,0.6523543180022366
78,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Penalty Score,0.4285714285714286
79,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_1,Main Score,0.27958042200095856
80,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Request Count,20.0
81,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Parsed Request Count,19.0
82,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Violated Request Count,1.0
83,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Request Success Ratio,0.95
84,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Aborted,0.0
85,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Lose,1.0
86,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Success,1.0
87,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Penalties,5.0
88,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Turn Count,8.0
89,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Initial Distance,9.359173603117451
90,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Total Distance,11.12899020449196
91,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Expected Distance Score,0.0
92,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Distance Reduction Score,0.0
93,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Distance Score,0.0
94,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Penalty Score,0.2857142857142857
95,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,0_gs7x7_obj3_en,episode_0,Main Score,0.0
96,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Request Count,17.0
97,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Parsed Request Count,17.0
98,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Violated Request Count,0.0
99,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Request Success Ratio,1.0
100,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Aborted,0.0
101,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Lose,0.0
102,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Success,1.0
103,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Penalties,1.0
104,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Turn Count,8.0
105,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Initial Distance,11.727968770336455
106,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Total Distance,1.0
107,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Expected Distance Score,0.9226601958077214
108,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Distance Reduction Score,0.9147337429368588
109,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Distance Score,0.9186969693722902
110,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Penalty Score,0.8888888888888888
111,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_1,Main Score,0.8166195283309245
112,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Request Count,18.0
113,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Parsed Request Count,18.0
114,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,1_gs7x7_obj4_en,episode_0,Violated Request Count,0.0
