,game,model,experiment,episode,metric,value
46,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,2_similar_5,episode_0,Violated Request Count,0.0
47,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,2_similar_5,episode_0,Request Success Ratio,1.0
48,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,2_similar_5,episode_0,Aborted,0.0
49,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,2_similar_5,episode_0,Lose,0.0
50,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,2_similar_5,episode_0,Success,1.0
51,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,2_similar_5,episode_0,Main Score,0.344259363483609
52,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,2_similar_5,episode_0,distance_score,0.37294764377390976
53,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,2_similar_5,episode_0,consistency_score,0.9230769230769231
54,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,2_similar_5,episode_0,coverage_score,1.0
55,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,Request Count,38.0
56,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,Parsed Request Count,38.0
57,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,Violated Request Count,0.0
58,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,Request Success Ratio,1.0
59,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,Aborted,0.0
60,clean_up_mm,mistral-small-3.1-24b-t0.0--mistral-small-3.1-24b-t0.0,1_normal_9,episode_1,Lose,0.0
